u 	group_id	eng_name	view_name	award_method	need_room	need_weight
	198	act_2xu_free	Ho¹t ®éng 2xu-Hép PhÇn Th­ëng Lv1	3	1	
	199	act_2xu_free2	Ho¹t ®éng 2xu-Hép PhÇn Th­ëng Theo Mèc Lv1	3	1	
	200	act_2xu_ib	Ho¹t ®éng 2xu-Hép PhÇn Th­ëng Lv2	3	1	
	201	act_2xu_ib2	Ho¹t ®éng 2xu-Hép PhÇn Th­ëng Theo Mèc Lv2	3	1	
	202	act_2xu_free_rand	Ho¹t ®éng 2xu-Hép PhÇn Th­ëng Lv1 (NgÉu nhiªn)	2	1	
	203	act_2xu_free2_rand	Ho¹t ®éng 2xu-Hép PhÇn Th­ëng Theo Mèc Lv1 (NgÉu nhiªn)	2	1	
	204	act_2xu_ib_rand	Ho¹t ®éng 2xu-Hép PhÇn Th­ëng Lv2 (NgÉu nhiªn)	2	1	
	205	act_2xu_ib2_rand	Ho¹t ®éng 2xu-Hép PhÇn Th­ëng Theo Mèc Lv2 (NgÉu nhiªn)	2	1	
	206	highlvbook70_rand	MËt TÞch S­ M«n Cao CÊp Lv70 (NgÉu nhiªn)	2	1	
	207	act_11_normal	PhÇn th­ëng Tµng B¶o §å-Th­êng	2	1	500
	208	act_11_ib	PhÇn th­ëng Tµi S¶n §¹o Mé TÆc	2	1	500
	209	TZWJ_free	Khiªu ChiÕn V¹n KiÕm (MiÔn phÝ)	2	1	100
	210	TZWJ_charge	Khiªu ChiÕn V¹n KiÕm (Thu phÝ)	2	1	500
	211	everydayaward	PhÇn th­ëng b¸o danh h»ng ngµy	2	1	
	212	QiandaoGift1	Quµ B¸o Danh-S¬	2	1	
	213	QiandaoGift2	Quµ B¸o Danh-Trung	2	1	
	214	QiandaoGift3	Quµ B¸o Danh-Cao	2	1	
	215	QiandaoGift4	Quµ B¸o Danh-Hµo Hoa	2	1	
	216	SLYWZ_SLJSBX	R­¬ng X©y Dùng ThÕ Lùc	2	1	
	217	act_12_normal	Quµ Song §¸n-Th­êng	2	1	
	218	act_12_ib	Quµ Song §¸n-Hµo Hoa	2	1	
	219	hd_1y_putong	PhiÕu Âm Thùc-Th­êng	2	1	
	220	hd_1y_jipin	PhiÕu Âm Thùc-Cùc phÈm	2	1	
	221	jubaoex	Tô B¶o Bån-§iÓm tÝch lòy phóc lîi (Th­ëng ngÉu nhiªn)	2	1	500
	222	cailu	Th­ëng H¸i Léc	2	1	
	223	newyearlishi	Th­ëng L× X× N¨m Míi	2	1	
	224	caishenbox	R­¬ng ThÇn Tµi	2	1	
	225	hd_1y_msqdlb	Quµ LÔ Héi Âm Thùc	2	1	500
	226	SLYWZ_YJSLPMJ_a	Th­ëng thÕ lùc h¹ng 1 (Giai ®o¹n 1)	3	2	500
	227	SLYWZ_YJSLPMJ_b	Th­ëng thÕ lùc h¹ng 2 (Giai ®o¹n 1)	3	2	500
	228	SLYWZ_YJSLPMJ_c	Th­ëng thÕ lùc h¹ng 3 (Giai ®o¹n 1)	3	2	500
	229	SLYWZ_YJJSHYJ	Th­ëng n¨ng ®éng x©y dùng thÕ lùc (Giai ®o¹n 1)	3	1	500
	230	SLYWZ_YJGRPMJ_a	Th­ëng h¹ng 1 trong thÕ lùc (Giai ®o¹n 1)	3	2	500
	231	SLYWZ_YJGRPMJ_b	Th­ëng h¹ng 2-5 trong thÕ lùc (Giai ®o¹n 1)	3	2	500
	232	SLYWZ_EJSLPMJ_a	Th­ëng thÕ lùc h¹ng 1 (Giai ®o¹n 2)	3	1	500
	233	SLYWZ_EJSLPMJ_b	Th­ëng thÕ lùc h¹ng 2 (Giai ®o¹n 2)	3	1	500
	234	SLYWZ_EJSLPMJ_c	Th­ëng thÕ lùc h¹ng 3 (Giai ®o¹n 2)	3	1	500
	235	SLYWZ_EJGRPMJ_a	Th­ëng c¸ nh©n h¹ng 1 (Giai ®o¹n 2)	3	3	500
	236	SLYWZ_EJGRPMJ_b	Th­ëng c¸ nh©n h¹ng 2 (Giai ®o¹n 2)	3	3	500
	237	SLYWZ_EJGRPMJ_c	Th­ëng c¸ nh©n h¹ng 3 (Giai ®o¹n 2)	3	3	500
	238	SLYWZ_EJGRPMJ_d	Th­ëng c¸ nh©n h¹ng 4-20 (Giai ®o¹n 2)	1	1	500
	239	SLYWZ_YWHYJ_a	DiÔn Vâ ChiÕn giai ®o¹n 2-H¹ng 1	3	1	500
	240	SLYWZ_YWHYJ_b	DiÔn Vâ ChiÕn giai ®o¹n 2-H¹ng 2	3	1	500
	241	SLYWZ_YWHYJ_c	DiÔn Vâ ChiÕn giai ®o¹n 2-H¹ng 3	3	1	500
	242	SLYWZ_YWHYJ_d	DiÔn Vâ ChiÕn giai ®o¹n 2-H¹ng 4	3	1	500
	243	SLYWZ_YWHYJ_e	DiÔn Vâ ChiÕn giai ®o¹n 2-KhuyÕn khÝch	3	1	500
	244	SLYWZ_YWHYBX_FREE	Më R­¬ng DiÔn Vâ miÔn phÝ	2	1	500
	245	SLYWZ_YWHYBX_IB	Më R­¬ng DiÔn Vâ thu phÝ	2	1	500
	246	SLYWZ_SLPMBX	R­¬ng xÕp h¹ng thÕ lùc	2	1	500
	251	JD_free1	KiÕm §·ng YÕn V©n-Th­êng l¹t bµi miÔn phÝ	2	1	500
	252	JD_IB1	KiÕm §·ng YÕn V©n-Th­êng l¹t bµi thu phÝ	2	1	500
	253	JD_free2	R­¬ng Hoµng Kim KiÕm §ang YÕn V©n 2-MiÔn phÝ lËt bµi	2	1	500
	259	YXJD_free1	Anh hïng KiÕm §¶ng YÕn V©n-MiÔn phÝ lËt bµi	2	1	500
	260	YXJD_IB1	Anh hïng KiÕm §¶ng YÕn V©n-Thu phÝ lËt bµi	2	1	500
	263	gem_lv5_normal	§¸ quý cÊp 5	2		
	264	csm_fusheng4_80	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	265	csm_fusheng4_81	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	266	csm_fusheng4_82	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	267	csm_fusheng4_83	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	268	csm_fusheng4_84	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	269	csm_fusheng4_85	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	270	csm_fusheng4_86	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	271	csm_fusheng4_87	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	272	csm_fusheng4_88	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	273	csm_fusheng4_89	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	274	csm_fusheng4_90	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	275	csm_fusheng4_91	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	276	csm_fusheng4_92	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	277	csm_fusheng4_93	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	278	csm_fusheng4_94	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	279	csm_fusheng4_95	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	280	csm_fusheng4_96	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	281	csm_fusheng4_97	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	282	csm_fusheng4_98	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
	283	csm_fusheng4_99	Phôc sinh 4 t¨ng cÊp tiªu hao	4		
