ItemIndex	BodyType	GroupName	GDP	SellType	SellPrices	PopPrice	GiftPrice	Not4Sale	Sort	Scale	Charm
59	1	Trang Søc L­u Tinh	0;121;21		99999;99999;99999	50		1		1	1500
59	2	Trang Søc L­u Tinh	0;121;22		99999;99999;99999	50		1		1	1500
59	3	Trang Søc L­u Tinh	0;121;23		99999;99999;99999	50		1		1	1500
59	4	Trang Søc L­u Tinh	0;121;24		99999;99999;99999	50		1		1	1500
60	1	Trang Søc L­u Tinh	0;120;21		99999;99999;99999	50		1		1	400
60	2	Trang Søc L­u Tinh	0;120;22		99999;99999;99999	50		1		1	400
60	3	Trang Søc L­u Tinh	0;120;23		99999;99999;99999	50		1		1	400
60	4	Trang Søc L­u Tinh	0;120;24		99999;99999;99999	50		1		1	400
61	1	Lª Hoa Nh­ TuyÕt	0;120;235		99999;99999;99999	50		1		1	1800
61	2	Lª Hoa Nh­ TuyÕt	0;120;236		99999;99999;99999	50		1		1	1800
61	3	Lª Hoa Nh­ TuyÕt	0;120;237		99999;99999;99999	50		1		1	1800
61	4	Lª Hoa Nh­ TuyÕt	0;120;238		99999;99999;99999	50		1		1	1800
62	1	Lª Hoa Nh­ TuyÕt	0;119;235		99999;99999;99999	50		1		1	720
62	2	Lª Hoa Nh­ TuyÕt	0;119;236		99999;99999;99999	50		1		1	720
62	3	Lª Hoa Nh­ TuyÕt	0;119;237		99999;99999;99999	50		1		1	720
62	4	Lª Hoa Nh­ TuyÕt	0;119;238		99999;99999;99999	50		1		1	720
63	1	Lª Hoa Nh­ TuyÕt	0;121;235		99999;99999;99999	50		1		1	480
63	2	Lª Hoa Nh­ TuyÕt	0;121;236		99999;99999;99999	50		1		1	480
63	3	Lª Hoa Nh­ TuyÕt	0;121;237		99999;99999;99999	50		1		1	480
63	4	Lª Hoa Nh­ TuyÕt	0;121;238		99999;99999;99999	50		1		1	480
