ItemIndex	GroupName	GDP	SellType	SellPrices	PopPrice	GiftPrice	Not4Sale	Sort	Scale	Position	Action	Charm
17	UyÓn C©u Ký TuÊn	0;105;6		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	15
18	UyÓn C©u Ký TuÊn	0;105;7		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	15
19	UyÓn C©u Ký TuÊn	0;105;8		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	15
20	UyÓn C©u Ký TuÊn	0;105;9		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	30
21	UyÓn C©u Ký TuÊn	0;105;11		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	30
22	UyÓn C©u Ký TuÊn	0;105;12		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	30
23	UyÓn C©u Ký TuÊn	0;105;13		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	30
24	UyÓn C©u Ký TuÊn	0;105;14		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	30
25	UyÓn C©u Ký TuÊn	0;105;17		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	30
26	UyÓn C©u Ký TuÊn	0;105;18		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	30
27	UyÓn C©u Ký TuÊn	0;105;37		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	100
28	D­¬ng M«n chiÕn m·	0;105;10		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	15
29	D­¬ng M«n chiÕn m·	0;105;22		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	15
30	D­¬ng M«n chiÕn m·	0;105;23		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	15
31	D­¬ng M«n chiÕn m·	0;105;24		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	50
32	D­¬ng M«n chiÕn m·	0;105;38		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	100
33	ThÇn C©u	0;105;39		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	50
34	ThÇn C©u	0;105;40		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	50
35	ThÇn C©u	0;105;36		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	100
36	Nguyªn so¸i chiÕn m·	0;105;51		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	15
37	Nguyªn so¸i chiÕn m·	0;105;52		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	15
38	Thiªn LÝ Truy Phong	0;105;107		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	300
39	Thiªn LÝ Truy Phong	0;105;108		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	300
40	Thiªn LÝ Truy Phong	0;105;109		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	300
41	Kú Thó	0;105;30044		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	500
42	Kú Thó	0;105;166		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	300
43	Kú Thó	0;105;30048		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	300
44	Kú Thó	0;105;30000		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	300
45	Kú Thó	0;105;30049		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	300
46	Kú Thó	0;105;33		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	300
47	Kú Thó	0;105;141		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	500
48	Linh Thó	0;105;30017		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
49	Linh Thó	0;105;30018		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
50	Linh Thó	0;105;30019		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
51	Linh Thó	0;105;30020		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
52	Linh Thó	0;105;30021		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
53	Linh Thó	0;105;30031		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
54	Linh Thó	0;105;30032		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
55	Hao Ng­u	0;105;30022		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
56	Hao Ng­u	0;105;30023		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
57	Hao Ng­u	0;105;30024		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
58	Hæ	0;105;30025		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
59	Hæ	0;105;30026		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
60	Hæ	0;105;30027		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
61	B¸o tö	0;105;30028		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
62	B¸o tö	0;105;30029		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
63	B¸o tö	0;105;30030		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
64	B¸o tö	0;105;30045		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
65	B¸o tö	0;105;30046		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
66	B¸o tö	0;105;30047		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	150
67	Thá	0;105;30038		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	500
68	Thá	0;105;30039		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	500
69	Thá	0;105;30040		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	500
70	Thá	0;105;30050		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	300
71	T­îng	0;105;30033		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	500
72	L¹c §µ	0;105;148		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	500
73	L¹c §µ	0;105;149		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	500
74	Hå Li	0;105;164		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	200
75	Hå Li	0;105;160		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	300
76	Hå Li	0;105;161		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	500
77	TuÇn Léc	0;105;35		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	300
78	TuÇn Léc	0;105;10120		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	300
79	TuÇn Léc	0;105;10122		99999;99999;99999	50		1		0.3	0;40	®øng yªn b×nh th­êng	300
80	Xe TuÇn Léc	0;105;30041		99999;99999;99999	100		1		0.3	0;40	®øng yªn b×nh th­êng	2000
81	Ngù KiÕm	0;105;10107		99999;99999;99999	100		1		0.3	0;40	®øng yªn b×nh th­êng	2500
82	Ngù KiÕm	0;105;10108		99999;99999;99999	100		1		0.3	0;40	®øng yªn b×nh th­êng	2500
83	Ngù KiÕm	0;105;10109		99999;99999;99999	100		1		0.3	0;40	®øng yªn b×nh th­êng	2500
84	Ngù KiÕm	0;105;10110		99999;99999;99999	100		1		0.3	0;40	®øng yªn b×nh th­êng	2500
85	Ngù KiÕm	0;105;10111		99999;99999;99999	100		1		0.3	0;40	®øng yªn b×nh th­êng	2500
86	Ngù KiÕm	0;105;10112		99999;99999;99999	100		1		0.3	0;40	®øng yªn b×nh th­êng	2500
87	Ngù KiÕm	0;105;181		99999;99999;99999	100		1		0.3	0;40	®øng yªn b×nh th­êng	2500
88	Hoa sen	0;105;30051		99999;99999;99999	100		1		0.3	0;40	®øng yªn b×nh th­êng	2500
89	Hoa sen	0;105;30057		99999;99999;99999	100		1		0.3	0;40	®øng yªn b×nh th­êng	2500
90	ChiÕn Xa TÇn Thñy Hoµng	0;105;30052		99999;99999;99999	100		1		0.3	0;40	®øng yªn b×nh th­êng	2500
91	Long M·	0;105;30056		99999;99999;99999	100		1		0.3	0;40	®øng yªn b×nh th­êng	2500
