ID	Name	EquipWorth	AttrGroup1	GrowStep1	GrowLvUp1	AttrGroup2	GrowStep2	GrowLvUp2	AttrGroup3	GrowStep3	GrowLvUp3
20	Huy Ch≠¨ng V©n Du	5000	42	1	1	43	1	1			
21	Tr≠Íng Hµi Du Hi÷p	5000	30	1	1	31	1	1			
22	Chi’n Hµi Thi’t Huy’t	5000	36	1	1	37	1	1			
23	ßπo Hµi V©n Du	5000	42	1	1	43	1	1			
24	Linh ßÂ ß«u	6000	48	0	0	49	0	0	50	0	0
25	Linh ßÂ Y	6000	51	0	0	52	0	0			
26	Linh ßÂ KhË (S∏t th≠¨ng)	6000	53	0	0	54	0	0			
27	Linh ßÂ KhË (Ngoπi c´ng)	6000	53	0	0	55	0	0			
28	Linh ßÂ KhË (NÈi k›ch)	6000	53	0	0	56	0	0			
29	VÚ Kh› Linh ßÂ (S∏t th≠¨ng)	6000	57	0	0	58	0	0			
30	VÚ Kh› Linh ßÂ (Ngoπi c´ng)	6000	59	0	0	60	0	0			
31	VÚ Kh› Linh ßÂ (NÈi k›ch)	6000	61	0	0	62	0	0			
32	C«m Linh ßÂ Æ∆c bi÷t	6000	57	0	0	62	0	0			
33	N„n Hµo Hi÷p (Ph’)	6000	73	0	0	73	0	0	73	0	0
34	∏o Hµo Hi÷p (Ph’)	6000	74	0	0	74	0	0	74	0	0
35	Qu«n Hµo Hi÷p (Ph’)	6000	75	0	0	75	0	0	75	0	0
36	VÚ Kh› Hµo Hi÷p (Ph’)	6000	76	0	0	76	0	0	76	0	0
37	Nh…n Hµo Hi÷p (Ph’)	6000	77	0	0	77	0	0	77	0	0
38	Hµo Hi÷p ß«u	6000	78	0	0	79	0	0	80	0	0
39	Hµo Hi÷p y	6000	81	0	0	82	0	0	83	0	0
40	Qu«n Hµo Hi÷p	6000	84	0	0	85	0	0	86	0	0
41	Nh…n Hµo Hi÷p	6000	99	0	0	100	0	0			
42	VÚ Kh› Hµo Hi÷p (S∏t th≠¨ng)	6000	87	0	0	88	0	0	89	0	0
43	VÚ Kh› Hµo Hi÷p (C«m)	6000	90	0	0	91	0	0	92	0	0
44	VÚ Kh› Hµo Hi÷p (NÈi k›ch)	6000	93	0	0	94	0	0	95	0	0
45	VÚ Kh› Hµo Hi÷p (Ngoπi c´ng)	6000	96	0	0	97	0	0	98	0	0
46	∏o kho∏c Hi÷p CËt	6000	116	1	1	117	1	1	118	1	1
47	∏o kho∏c QÒy PhÔ	6000	123	1	1	124	1	1	125	1	1
48	∏o kho∏c ßªng V©n	6000	130	1	1	131	1	1	132	1	1
49	Huy ch≠¨ng Hi÷p CËt	6000	116	1	1	117	1	1	118	1	1
50	Huy ch≠¨ng QÒy PhÔ	6000	123	1	1	124	1	1	125	1	1
51	Huy ch≠¨ng ßªng V©n	6000	130	1	1	131	1	1	132	1	1
52	Hi÷p CËt Tr≠Íng Ngoa	6000	116	1	1	117	1	1	118	1	1
53	QÒy PhÔ Chi’n Ngoa	6000	123	1	1	124	1	1	125	1	1
54	ßªng V©n ßπo Ngoa	6000	130	1	1	131	1	1	132	1	1
55	T›n vÀt bang hÈi c p 1	6000	137	0	0	138	0	0	139	0	0
56	T›n vÀt bang hÈi c p 2	6000	140	0	0	141	0	0	142	0	0
57	T›n vÀt bang hÈi c p 3	6000	143	0	0	144	0	0	145	0	0
58	T›n vÀt bang hÈi c p 4	6000	146	0	0	147	0	0	148	0	0
59	T›n vÀt bang hÈi c p 5	6000	149	0	0	150	0	0	151	0	0
60	T›n vÀt bang hÈi c p 6	6000	152	0	0	153	0	0	154	0	0
61	T›n vÀt bang hÈi c p 7	6000	155	0	0	156	0	0	157	0	0
62	T›n vÀt bang hÈi c p 8	6000	158	0	0	159	0	0	160	0	0
63	T›n vÀt bang hÈi c p 9	6000	161	0	0	162	0	0	163	0	0
64	T›n vÀt bang hÈi c p 10	6000	164	0	0	165	0	0	166	0	0
65	T›n vÀt bang hÈi c p 11	6000	167	0	0	168	0	0	169	0	0
66	T›n vÀt bang hÈi c p 12	6000	170	0	0	171	0	0	172	0	0
67	T›n vÀt bang hÈi c p 13	6000	173	0	0	174	0	0	175	0	0
68	T›n vÀt bang hÈi c p 14	6000	176	0	0	177	0	0	178	0	0
69	T›n vÀt bang hÈi c p 15	6000	179	0	0	180	0	0	181	0	0
